deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
054 - Edgewell Personal Care Company and Harry's Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O'Melveny & Myers LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Euromoney Institutional Investor PLC acquisition of equity interests of Th.docx,Kevin Lehpamer,Clifford Chance US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Euromoney Institutional Investor PLC acquisition of equity interests of Th.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen Dempsey,"Orrick, Herrington & Sutcliffe LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Euromoney Institutional Investor PLC acquisition of equity interests of Th.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Vernon Smith,"Orrick, Herrington & Sutcliffe LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Global Defense And National Security Systems Inc acquisition of stock of S.docx,Lawrence T. Yanowitch,Morrison & Foerster LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Global Defense And National Security Systems Inc acquisition of stock of S.docx,NA,NA,Charles W. Katz,Morrison & Foerster LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Global Defense And National Security Systems Inc acquisition of stock of S.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William J. Mutryn,Holland & Knight LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Global Defense And National Security Systems Inc acquisition of stock of S.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jonathan F. Wolcott,Holland & Knight LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,W. Scott Ortwein,Alston & Bird LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey J. Rosen,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael A. Diz,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,Alain Dermarkar,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan Roth,Winston & Strawn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James A. Burns,Carson Messinger PLLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - HealthSouth Corporation and CareSouth Health System Inc merger.docx,Neill P. Jakobe,Ropes & Gray LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - HealthSouth Corporation and CareSouth Health System Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jon R. Harris Jr.,King & Spalding LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - HealthSouth Corporation and CareSouth Health System Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas H. Hawk III,King & Spalding LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,Troy Lehman,"Blake, Cassels & Graydon LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,NA,NA,Kris Withrow,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,NA,NA,NA,NA,Chris Gorman,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jamie Leigh,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne Lieberman,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - lululemon athletica inc and Curiouser Products Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,and Giselle Rivers,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - MAXIMUS Inc acquisition of equity interests of Acentia LLC.docx,J. Brent Singley,Hogan Lovells US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - MAXIMUS Inc acquisition of equity interests of Acentia LLC.docx,NA,NA,Richard T. Horan Jr.,Hogan Lovells US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - MAXIMUS Inc acquisition of equity interests of Acentia LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William J. Mutryn,Holland & Knight LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - MAXIMUS Inc acquisition of equity interests of Acentia LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jonathan F. Wolcott,Holland & Knight LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Mobile Mini Inc acquisition of equity interests of Gulf Tanks Holdings Inc.docx,Joseph Rinaldi,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Mobile Mini Inc acquisition of equity interests of Gulf Tanks Holdings Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John Giouroukakis,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Mobile Mini Inc acquisition of equity interests of Gulf Tanks Holdings Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paul Kukish,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Nuance Communications Inc and Swype Inc merger.docx,Robert Sanchez,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Nuance Communications Inc and Swype Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan C. Smith,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patrick Industries Inc acquisition of assets of Foremost Fabricators LLC.docx,Raam S. Jani,McDermott Will & Emery LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patrick Industries Inc acquisition of assets of Foremost Fabricators LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn E. Killoren,Barnes & Thornburg LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,Alan L. Zeiger,Blank Rome LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guy Maisnik,Jeffer Mangels Butler & Mitchell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Starfield & Smith, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Phillips 66 Partners LP acquisition of equity interests of Merey Sweeny LP.docx,NA,"Vinson & Elkins, L.L.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Phillips 66 Partners LP acquisition of equity interests of Merey Sweeny LP.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Stampscom Inc and ShippingEasy Group Inc merger.docx,Ben D. Orlanski,"Manatt, Phelps & Phillips, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Stampscom Inc and ShippingEasy Group Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wes Jones,Vinson & Elkins L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Steven Madden Ltd acquisition of stock of Cejon Inc and equity interests o.docx,James A. Grayer,Kramer Levin Naftalis & Frankel LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - Steven Madden Ltd acquisition of stock of Cejon Inc and equity interests o.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John Welge,Bryan Cave LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - The Medicines Company and Rempex Pharmaceuticals Inc merger.docx,David E. Redlick,Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - The Medicines Company and Rempex Pharmaceuticals Inc merger.docx,NA,NA,Jeffrey A. Hermanson,Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - The Medicines Company and Rempex Pharmaceuticals Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barbara Kosacz,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - WellCare Health Plans Inc acquisition of equity interests of Caidan Manage.docx,Sarkis Jebejian,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - WellCare Health Plans Inc acquisition of equity interests of Caidan Manage.docx,NA,NA,Michael P. Brueck,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - WellCare Health Plans Inc acquisition of equity interests of Caidan Manage.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steven Vazquez,Foley & Lardner LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
054 - WellCare Health Plans Inc acquisition of equity interests of Caidan Manage.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David P. Larsen,Bodman PLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Akamai Technologies Inc and Prolexic Technologies Inc merger.docx,Susan W. Murley,Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Akamai Technologies Inc and Prolexic Technologies Inc merger.docx,NA,NA,Hal J. Leibowitz,Wilmer Cutler Pickering Hale and Dorr LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Akamai Technologies Inc and Prolexic Technologies Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey S. Buschmann,"Bradley Arant Boult Cummings, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,Patrick S. Brown,Sullivan & Cromwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruce Ewing,Dorsey & Whitney LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Cambridge Bancorp and Optima Bank And Trust Company merger.docx,Richard A. Schaberg,Hogan Lovells US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Cambridge Bancorp and Optima Bank And Trust Company merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samantha M. Kirby,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Cambridge Bancorp and Optima Bank And Trust Company merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William P. Mayer,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Catalent Pharma Solutions Inc acquisition of equity interests of Cook Phar.docx,Steven Epstein,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Catalent Pharma Solutions Inc acquisition of equity interests of Cook Phar.docx,NA,NA,Matthew V. Soran,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Catalent Pharma Solutions Inc acquisition of equity interests of Cook Phar.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephen J. Hackman,Ice Miller LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Churchill Downs Incorporated and Big Fish Games Inc merger.docx,Brian J. Fahrney,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Churchill Downs Incorporated and Big Fish Games Inc merger.docx,NA,NA,Matthew G. McQueen,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Churchill Downs Incorporated and Big Fish Games Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David McShea,Perkins Coie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Churchill Downs Incorporated and Big Fish Games Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eric DeJong,Perkins Coie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Churchill Downs Incorporated and Big Fish Games Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stuart C. Campbell (representing Stockholders’ Representative),Davis Wright Tremaine LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - DealerTrack Holdings Inc acquisition of assets of eCarList LLC.docx,Robert M. Stern,"O’Melveny & Myers, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - DealerTrack Holdings Inc acquisition of assets of eCarList LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert Lovein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Douglas Dynamics Inc acquisition of assets of Dejana Truck And Utility Equ.docx,Jay O. Rothman,Foley & Lardner LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Douglas Dynamics Inc acquisition of assets of Dejana Truck And Utility Equ.docx,NA,NA,Bryan S. Schultz,Foley & Lardner LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Douglas Dynamics Inc acquisition of assets of Dejana Truck And Utility Equ.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allan H. Cohen,Nixon Peabody LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - E And J Gallo Winery acquisition of certain assets of Constellation Brands.docx,Brian J. McCarthy,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - E And J Gallo Winery acquisition of certain assets of Constellation Brands.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lori B. Green,Nixon Peabody LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - ECOSERV LLC acquisition of equity interests of Newpark Environmental Servi.docx,Nathaniel G. Ford,Perkins Coie LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - ECOSERV LLC acquisition of equity interests of Newpark Environmental Servi.docx,NA,NA,M. Robert Morrill,Bartlit Beck Herman Palenchar & Scott LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - ECOSERV LLC acquisition of equity interests of Newpark Environmental Servi.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William C. McDonald,Andrews Kurth LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Energy Transfer Partners LP acquisition of equity interests of PennTex Mid.docx,G. Michael O’Leary,Andrews Kurth Kenyon LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Energy Transfer Partners LP acquisition of equity interests of PennTex Mid.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryan J. Maierson,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - First Midwest Bancorp Inc and NI Bancshares Corporation merger.docx,John J. Martin,Chapman and Cutler LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - First Midwest Bancorp Inc and NI Bancshares Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert M. Fleetwood,Barack Ferrazzano Kirschbaum & Nagelberg LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Fortive Corporation and Accruent LLC merger.docx,Daniel Wolf,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Fortive Corporation and Accruent LLC merger.docx,NA,NA,Jonathan Davis,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Fortive Corporation and Accruent LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Kaplan,Irell & Manella LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Greatbatch Inc and Lake Region Medical Holdings Inc merger.docx,John J. Zak,Hodgson Russ LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Greatbatch Inc and Lake Region Medical Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marni J. Lerner,Simpson Thacher & Bartlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Harsco Corporation acquisition of stock of Clean Earth Inc.docx,Mario Ponce,Simpson Thacher & Bartlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Harsco Corporation acquisition of stock of Clean Earth Inc.docx,NA,NA,Sebastian Tiller,Simpson Thacher & Bartlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Harsco Corporation acquisition of stock of Clean Earth Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Toby D. Merchant,Squire Patton Boggs (US) LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,Stephen G. Rooney,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
