deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx,NA,NA,Mark Spiro,Goodmans LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James R. Tanenbaum,Morrison & Foerster LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,Thomas O. Kolb,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Margaret A. Gibson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher M. Thomas,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epstein Becker & Green, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honigman Miller Schwartz and Cohn LLP,NA,NA,NA,NA,NA,NA,NA,NA
001 - Nanometrics Incorporated acquisition of stock of 4D Technology Corporation.docx,Eva Davis,Winston & Strawn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Nanometrics Incorporated acquisition of stock of 4D Technology Corporation.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lawrence Hecker,Hecker PLLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Nautilus Inc acquisition of stock of OF Holdings Inc.docx,Peter B. Cancelmo,Garvey Schubert Barer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Nautilus Inc acquisition of stock of OF Holdings Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David A. Scherl,Morrison Cohen LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - PAE Incorporated and Metis Solutions Corporation merger.docx,James R. Stuart III,Crowell & Moring LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - PAE Incorporated and Metis Solutions Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matthew D. Klaiber,Miles & Stockbridge P.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Rapid7 Inc and RevelOps Inc dba Logentries merger.docx,Alfred L. Browne,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Rapid7 Inc and RevelOps Inc dba Logentries merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John H. Chory,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Spirit of Texas Bancshares Inc and Comanche National Corporation merger.docx,Peter G. Weinstock,Hunton Andrews Kurth LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001 - Spirit of Texas Bancshares Inc and Comanche National Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chet A. Fenimore,"Fenimore, Kay, Harrison & Ford, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
