deal,First,MI,Last,Law_Firm,Type
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,Andrew,L.,Bab,Debevoise & Plimpton LLP,Buyer
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,Buyer
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,William,M.,Shields,Ropes & Gray LLP,Target/Seller
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,C.,Michael,Roh,Ropes & Gray LLP,Target/Seller
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,Lyle,G.,Ganske,Jones Day,Buyer
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,James,P.,Dougherty,Jones Day,Buyer
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,Frederick,H.,McGrath,Baker Botts L.L.P.,Target/Seller
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,Jonathan,NA,Gordon,Baker Botts L.L.P.,Target/Seller
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,NA,NA,NA,Cooley LLP,Target/Seller
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,David,C.,Buck,Sidley Austin LLP,Buyer
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,Jonathan,D.,Morris,Morgan Lewis & Bockius LLP,Target/Seller
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,Andrew,L.,Milano,Morgan Lewis & Bockius LLP,Target/Seller
002 - KBR Inc acquisition of stock of SGT Inc.docx,Carine,NA,Stoick,Hogan Lovells US LLP,Buyer
002 - KBR Inc acquisition of stock of SGT Inc.docx,Craig,NA,Chason,Pillsbury Winthrop Shaw Pittman LLP,Target/Seller
002 - Kerry Group PLC acquisition of stock of Fleischmann's Vinegar Company Inc.docx,Donal,NA,O'Brien,Bryan Cave Leighton Paisner LLP,Buyer
002 - Kerry Group PLC acquisition of stock of Fleischmann's Vinegar Company Inc.docx,James,NA,Ash,Husch Blackwell LLP,Target/Seller
002 - Lehigh Gas Partners LP acquisition of certain assets of Atlas Oil Company.docx,NA,NA,NA,Dennis M. McCarthy,Buyer
002 - Lehigh Gas Partners LP acquisition of certain assets of Atlas Oil Company.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
002 - LogMeIn Inc acquisition of stock of Marvasol Inc dba LastPass.docx,Susan,NA,Mazur,Latham & Watkins LLP,Buyer
002 - LogMeIn Inc acquisition of stock of Marvasol Inc dba LastPass.docx,Theodore,D.,Segal,"Stradley Ronon Stevens & Young, LLP",Target/Seller
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,David,M.,Loev,"The Loev Law Firm, PC",Buyer
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,John,S.,Gillies,"The Loev Law Firm, PC",Buyer
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,Christopher,H.,Moore,"Knobles, Raetzsch, Moore & Eveld, LLP",Target/Seller
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,William,L.,Knobles,"Knobles, Raetzsch, Moore & Eveld, LLP",Target/Seller
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,NA,NA,NA,"Knobles, Raetzsch, Moore & Eveld, LLP",Target/Seller
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,Steven,M.,Baumer,Bryan Cave LLP,Buyer
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,Richard,Vernon,Smith,"Orrick, Herrington & Sutcliffe LLP",Target/Seller
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,John,NA,Cook,"Orrick, Herrington & Sutcliffe LLP",Target/Seller
002 - Merit Medical Systems Inc and Cianna Medical Inc merger.docx,Bryan,T.,Allen,"Parr Brown Gee & Loveless, PC",Buyer
002 - Merit Medical Systems Inc and Cianna Medical Inc merger.docx,Martin,J.,Waters,"Wilson Sonsini Goodrich & Rosati, P.C.",Target/Seller
002 - Proto Labs Inc acquisition of equity interests of The Rapid Manufacturing .docx,Mark,D.,Pihlstrom,Faegre Baker Daniels LLP,Buyer
002 - Proto Labs Inc acquisition of equity interests of The Rapid Manufacturing .docx,Greg,S.,Fine,"Mintz, Levin, Cohn, Ferris, Glovsky and Pope, P.C.",Target/Seller
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,Christopher,R.,Manning,"Burke, Warren, MacKay & Serritella, P.C.",Buyer
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,Alan,NA,Hambelton,Cooley LLP,Target/Seller
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,Laura,NA,Medina,Cooley LLP,Target/Seller
002 - Systemax Inc acquisition of subsidiary equity interests of TAKKT America H.docx,NA,NA,NA,Not disclosed at signing.,Buyer
002 - Systemax Inc acquisition of subsidiary equity interests of TAKKT America H.docx,Jennifer,NA,Clements,Quarles & Brady LLP,Target/Seller
002 - The Home Depot Inc and Interline Brands Inc merger.docx,Ethan,A.,Klingsberg,Cleary Gottlieb Steen & Hamilton LLP,Buyer
002 - The Home Depot Inc and Interline Brands Inc merger.docx,Robert,C.,Schwenkel,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
002 - The Home Depot Inc and Interline Brands Inc merger.docx,David,L.,Shaw,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,Chris,NA,Baugher,Alston & Bird LLP,Buyer
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,Jeffrey,NA,Seifman,Kirkland & Ellis LLP,Target/Seller
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,Benjamin,P.,Clinger,Kirkland & Ellis LLP,Target/Seller
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,Kirkland & Ellis LLP,Target/Seller
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,Herrington,NA,NA,Kirkland & Ellis LLP,Target/Seller
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,&,Sutcliffe,LLP,Kirkland & Ellis LLP,Target/Seller
002 - Universal Corporation acquisition of stock of FruitSmart Inc.docx,John,Owen,Gwathmey,Troutman Sanders LLP,Buyer
002 - Universal Corporation acquisition of stock of FruitSmart Inc.docx,William,NA,Weigand,Davis Wright Tremaine LLP,Target/Seller
002 - Veritex Holdings Inc and Liberty Bancshares Inc merger.docx,Justin,M.,Long,Norton Rose Fulbright US LLP,Buyer
002 - Veritex Holdings Inc and Liberty Bancshares Inc merger.docx,Mark,NA,Haynie,"Haynie Rake Repass & Klimko, P.C.",Target/Seller
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,Nicholas,G.,Demmo,"Wachtell, Lipton, Rosen & Katz",Buyer
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,David,C.,Ingles,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,NA,NA,NA,"Fenimore, Kay, Harrison & Ford, LLP",Target/Seller
