deal,First,MI,Last,Law_Firm,Type
059 - New Media Investment Group Inc acquisition of certain assets of The Dispat.docx,Michael,NA,Rybicki,Seyfarth Shaw LLP,Target/Seller
059 - New Media Investment Group Inc acquisition of certain assets of The Dispat.docx,John,W.,Zeiger,"Zeiger, Tigges & Little LLP",Target/Seller
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Edward,D.,Herlihy,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Brandon,C.,Price,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,NA,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Arps,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Slate,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Meagher,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,Flom,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,LLC,NA,NA,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,William,B.,Rowland,Jones Day,Target/Seller
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,NA,NA,NA,Jones Day,Target/Seller
059 - NextEra Energy Inc acquisition of stock of Gulf Power Company.docx,NA,NA,NA,Gibson Dunn & Crutcher LLP,Target/Seller
059 - OM Asset Management plc acquisition of equity interests of Landmark Partne.docx,Floyd,I.,Wittlin,"Morgan, Lewis & Bockius LLP",Buyer
059 - OM Asset Management plc acquisition of equity interests of Landmark Partne.docx,William,E.,Mone,Ropes & Gray LLP,Target/Seller
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Richard,E.,Climan,"Weil, Gotshal & Manges LLP",Buyer
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Eric,J.,Schwartzman,"Weil, Gotshal & Manges LLP",Buyer
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Jeffrey,D.,Osterman,"Weil, Gotshal & Manges LLP",Buyer
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Kathleen,M.,Wells,Latham & Watkins LLP,Buyer
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Charles,K.,Ruck,Latham & Watkins LLP,Buyer
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Ross,L.,Burningham,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
059 - Raptor Pharmaceutical Corp acquisition of certain assets of Tripex Pharmac.docx,Fahd,NA,Riaz,DLA Piper LLP,Target/Seller
059 - Scripps Media Inc acquisition of certain assets of Granite Broadcasting Co.docx,Steven,H.,Goldberg,Baker & Hostetler LLP,Buyer
059 - Scripps Media Inc acquisition of certain assets of Granite Broadcasting Co.docx,John,R.,Feore,Cooley LLP,Target/Seller
059 - Siris Capital Group LLC acquisition of stock of Intralinks Holdings Inc.docx,Andrew,J.,Nussbaum,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - Siris Capital Group LLC acquisition of stock of Intralinks Holdings Inc.docx,Igor,NA,Kirman,"Wachtell, Lipton, Rosen & Katz",Buyer
059 - Siris Capital Group LLC acquisition of stock of Intralinks Holdings Inc.docx,NA,NA,NA,"Greenberg Traurig, LLP",Buyer
059 - Siris Capital Group LLC acquisition of stock of Intralinks Holdings Inc.docx,Marc,NA,Dupré,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
059 - Siris Capital Group LLC acquisition of stock of Intralinks Holdings Inc.docx,Andrew,NA,Luh,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
059 - SK Capital Partners LP acquisition of certain assets and subsidiary equity.docx,Nicholas,P.,Luongo,Latham & Watkins LLP,Buyer
059 - SK Capital Partners LP acquisition of certain assets and subsidiary equity.docx,James,NA,Dougherty,Jones Day,Target/Seller
059 - SK Capital Partners LP acquisition of certain assets and subsidiary equity.docx,Benjamin,NA,Stulberg,Jones Day,Target/Seller
059 - SM Energy Company acquisition of certain assets of QStar LLC.docx,NA,NA,NA,Not disclosed at signing.,Buyer
059 - SM Energy Company acquisition of certain assets of QStar LLC.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
059 - United Bankshares Inc and Bank of Georgetown merger.docx,Sandra,M.,Murphy,Bowles Rice LLP,Buyer
059 - United Bankshares Inc and Bank of Georgetown merger.docx,NA,NA,NA,Covington & Burling LLP,Target/Seller
059 - United Bankshares Inc and Bank of Georgetown merger.docx,Michael,P.,Reed,Covington & Burling LLP,Target/Seller
06 - Acosta Frontline LLC acquisition of certain assets of Alloy Inc.docx,Danielle,R.,Whitley,Foley & Lardner LLP,Buyer
06 - Acosta Frontline LLC acquisition of certain assets of Alloy Inc.docx,NA,NA,NA,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.- Dean G. Zioze",Target/Seller
06 - Bazaarvoice Inc and PowerReviews Inc merger.docx,Paul,R.,Tobias,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
06 - Bazaarvoice Inc and PowerReviews Inc merger.docx,NA,NA,NA,Perkins Coie LLP,Target/Seller
06 - Bazaarvoice Inc and PowerReviews Inc merger.docx,Fiona,NA,Brophy,Perkins Coie LLP,Target/Seller
06 - Deerfield Capital Corp and Commercial Industrial Finance Corp merger.docx,Simeon,NA,Gold,"Weil, Gotshal & Manges LLP",Buyer
06 - Deerfield Capital Corp and Commercial Industrial Finance Corp merger.docx,Kevin,M.,Dennis,Goodwin Procter LLP,Target/Seller
06 - DW Partners LP acquisition of certain assets of Forestar Group Inc.docx,NA,NA,NA,Not disclosed at signing.,Buyer
06 - DW Partners LP acquisition of certain assets of Forestar Group Inc.docx,Kristin,L.,Lentz,"Davis Graham & Stubbs, LLP",Target/Seller
06 - DW Partners LP acquisition of certain assets of Forestar Group Inc.docx,Sam,NA,Niebrugge,"Davis Graham & Stubbs, LLP",Target/Seller
06 - E And J Gallo Winery acquisition of certain assets of Constellation Brands .docx,Brian,J.,McCarthy,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
06 - E And J Gallo Winery acquisition of certain assets of Constellation Brands .docx,Lori,B.,Green,Nixon Peabody LLP,Target/Seller
06 - First Cash Financial Services Inc acquisition of stock of LTS Incorporated.docx,NA,NA,NA,Not disclosed at signing.,Buyer
06 - First Cash Financial Services Inc acquisition of stock of LTS Incorporated.docx,NA,NA,NA,Holland & Hart LLP,Target/Seller
06 - NetLogic Microsystems Inc and Optichron Inc merger.docx,Alan,B.,Kalin,Bingham McCutchen LLP,Buyer
06 - NetLogic Microsystems Inc and Optichron Inc merger.docx,John,NA,Sellers,Cooley LLP,Target/Seller
06 - NetLogic Microsystems Inc and Optichron Inc merger.docx,Jeff,NA,Suto,"Jeffrey Y. Suto, A Professional Corporation",Target/Seller
06 - PPL Corporation acquisition of equity interests of AES Ironwood LLC and AES.docx,Steven,A.,Rosenblum,"Wachtell, Lipton, Rosen & Katz",Buyer
06 - PPL Corporation acquisition of equity interests of AES Ironwood LLC and AES.docx,William,NA,Lamb,Dewey & LeBoeuf LLP,Target/Seller
06 - PPL Corporation acquisition of equity interests of AES Ironwood LLC and AES.docx,Michael,NA,Didriksen,Dewey & LeBoeuf LLP,Target/Seller
06 - Southwestern Energy Company acquisition of certain assets of Chesapeake Ene.docx,NA,NA,NA,Not disclosed at signing.,Buyer
06 - Southwestern Energy Company acquisition of certain assets of Chesapeake Ene.docx,Ray,NA,Lees,"Commercial Law Group, P.C.",Target/Seller
06 - Surgery Partners Inc and NSH Holdco Inc merger.docx,Carl,NA,Marcellino,Ropes & Gray LLP,Buyer
06 - Surgery Partners Inc and NSH Holdco Inc merger.docx,William,M.,Shields,Ropes & Gray LLP,Buyer
06 - Surgery Partners Inc and NSH Holdco Inc merger.docx,NA,NA,NA,Kirkland & Ellis (representing Bain Capital),Buyer
06 - Surgery Partners Inc and NSH Holdco Inc merger.docx,Christopher,NA,Machera,"Weil, Gotshal & Manges LLP",Target/Seller
06 - The KEYW Holding Corporation acquisition of stock of Everest Technology Sol.docx,Donna,M.D.,Thomas,"Astrachan Gunst Thomas Rubin, P.C.",Buyer
06 - The KEYW Holding Corporation acquisition of stock of Everest Technology Sol.docx,William,NA,Mutryn,"Holland Knight, LLP",Target/Seller
06 - The KEYW Holding Corporation acquisition of stock of Everest Technology Sol.docx,Marisa,C.,Terrenzi,"Holland Knight, LLP",Target/Seller
06 - Ventas Inc and Atria Senior Living Group merger.docx,Robin,NA,Panovka,"Wachtell, Lipton, Rosen & Katz",Buyer
06 - Ventas Inc and Atria Senior Living Group merger.docx,NA,NA,NA,Barack Ferrazzano Kirschbaum & Nagelberg,Buyer
06 - Ventas Inc and Atria Senior Living Group merger.docx,Benjamin,R.,Weber,Sullivan & Cromwell LLP,Target/Seller
06 - Ventas Inc and Atria Senior Living Group merger.docx,NA,NA,NA,Roberts and Holland LLP,Target/Seller
06 - Westwood Holdings Group Inc and Woodway Financial Advisors A Trust Company .docx,NA,NA,NA,Norton Rose Fulbright,Buyer
06 - Westwood Holdings Group Inc and Woodway Financial Advisors A Trust Company .docx,NA,NA,NA,"Chamberlain, Hrdlicka, White, Williams & Aughtry",Target/Seller
060 - Adobe Systems Incorporated acquisition of certain assets of comScore Inc.docx,Jane,NA,Ross,"Weil, Gotshal & Manges LLP",Buyer
060 - Adobe Systems Incorporated acquisition of certain assets of comScore Inc.docx,Marisa,NA,Terrenzi,Holland & Knight LLP,Target/Seller
060 - AGCO Corporation and GSI Holdings Corp merger.docx,NA,NA,NA,Troutman Sanders LLP,Buyer
060 - AGCO Corporation and GSI Holdings Corp merger.docx,Caroline,B.,Gottschalk,Simpson Thacher & Bartlett LLP,Target/Seller
060 - Aleris International Inc acquisition of equity interests of Nichols Alumin.docx,Christopher,NA,Ewan,"Fried, Frank, Harris, Shriver and Jacobson LLP",Buyer
060 - Aleris International Inc acquisition of equity interests of Nichols Alumin.docx,P.,Kevin,Trautner,Norton Rose Fulbright,Target/Seller
060 - ARC Group Worldwide Inc acquisition of assets of Kecy Corporation and 4111.docx,Travis,L.,Gering,Wuersch & Gering LLP,Buyer
060 - ARC Group Worldwide Inc acquisition of assets of Kecy Corporation and 4111.docx,Jon,B.,Liebenthal,Eastman & Smith Ltd.,Target/Seller
060 - BM Eagle Holdings LLC acquisition of certain assets of Kindred Healthcare .docx,Christopher,J.,Donovan,Foley & Lardner,Buyer
060 - BM Eagle Holdings LLC acquisition of certain assets of Kindred Healthcare .docx,Bobby,NA,Guy,Polsinelli P.C.,Target/Seller
060 - BM Eagle Holdings LLC acquisition of certain assets of Kindred Healthcare .docx,Andrew,NA,Voss,Polsinelli P.C.,Target/Seller
060 - BM Eagle Holdings LLC acquisition of certain assets of Kindred Healthcare .docx,NA,NA,NA,Polsinelli P.C.,Target/Seller
060 - BM Eagle Holdings LLC acquisition of certain assets of Kindred Healthcare .docx,Hamilton,NA,LLP,Polsinelli P.C.,Target/Seller
060 - Ducommun Incorporated and LS Holdings Company LLC merger.docx,Eva,H.,Davis,Winston & Strawn LLP,Buyer
060 - Ducommun Incorporated and LS Holdings Company LLC merger.docx,John,J.,Allotta,Baker & Hostetler LLP,Target/Seller
060 - DuPont de Nemours Inc acquisition of certain assets and subsidiary equity .docx,Darrick,M.,Mix,Duane Morris LLP,Buyer
060 - DuPont de Nemours Inc acquisition of certain assets and subsidiary equity .docx,Robert,P.,Zinn,K&L Gates LLP,Target/Seller
060 - Encino Acquisition Partners LLC acquisition of certain assets of Chesapeak.docx,NA,NA,NA,Not disclosed at signing.,Buyer
060 - Encino Acquisition Partners LLC acquisition of certain assets of Chesapeak.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
060 - Enduring Resources IV LLC acquisition of certain assets of WPX Energy Inc.docx,Michael,R.,King,Latham & Watkins LLP,Buyer
060 - Enduring Resources IV LLC acquisition of certain assets of WPX Energy Inc.docx,NA,NA,NA,Holland & Hart LLP,Target/Seller
060 - Flotek Industries Inc acquisition of equity interests of JP3 Measurement L.docx,Robert,C.,Morris,Norton Rose Fulbright US LLP,Buyer
060 - Flotek Industries Inc acquisition of equity interests of JP3 Measurement L.docx,Brandon,NA,Bryne,Norton Rose Fulbright US LLP,Buyer
060 - Flotek Industries Inc acquisition of equity interests of JP3 Measurement L.docx,Billy,J.,Murphy,Dwyer Murphy Calvert LLP,Target/Seller
060 - Flotek Industries Inc acquisition of equity interests of JP3 Measurement L.docx,NA,NA,NA,Dwyer Murphy Calvert LLP,Target/Seller
060 - Hub Group Inc acquisition of equity interests of Estenson Logistics LLC.docx,Patrick,O.,Doyle,Winston & Strawn LLP,Buyer
060 - Hub Group Inc acquisition of equity interests of Estenson Logistics LLC.docx,Michael,NA,Kearney,Lewis Brisbois Bisgaard & Smith LLC,Target/Seller
060 - IHS Markit Ltd and Infinity Intermediate Holdings LLC merger.docx,Louis,NA,Goldberg,Davis Polk & Wardwell LLP,Buyer
060 - IHS Markit Ltd and Infinity Intermediate Holdings LLC merger.docx,H.,Oliver,Smith,Davis Polk & Wardwell LLP,Buyer
060 - IHS Markit Ltd and Infinity Intermediate Holdings LLC merger.docx,Christopher,NA,Machera,"Weil, Gotshal & Manges LLP",Target/Seller
060 - Illinois Bank And Trust acquisition of certain assets of Rockford Bank And.docx,Jay,L.,Kim,Dorsey & Whitney LLP,Buyer
060 - Illinois Bank And Trust acquisition of certain assets of Rockford Bank And.docx,Abdul,R.,Mitha,Barack Ferrazzano Kirschbaum & Nagelberg LLP,Target/Seller
060 - Juno Therapeutics Inc and X-Body Inc merger.docx,Gregory,NA,Smith,"Woodside Counsel, PC",Buyer
060 - Juno Therapeutics Inc and X-Body Inc merger.docx,Jeffrey,NA,Hermanson,Wilmer Cutler Pickering Hale and Dorr LLP,Target/Seller
060 - KPS Capital Partners LP acquisition of subsidiary equity interests of Brun.docx,Angelo,NA,Bonvino,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Buyer
060 - KPS Capital Partners LP acquisition of subsidiary equity interests of Brun.docx,NA,NA,NA,"Cravath, Swaine & Moore LLP",Target/Seller
060 - KPS Capital Partners LP acquisition of subsidiary equity interests of Brun.docx,NA,NA,NA,"Cravath, Swaine & Moore LLP",Target/Seller
060 - Par Pacific Holdings Inc acquisition of equity interests of Hermes Consoli.docx,E.,James,Cowen,Porter Hedges LLP,Buyer
060 - Par Pacific Holdings Inc acquisition of equity interests of Hermes Consoli.docx,J.,Michael,Chambers,Latham & Watkins,Target/Seller
060 - Schlumberger Technology Corporation acquisition of certain assets of Weath.docx,W.,Robert,Shearer,Baker & Hostetler LLP,Buyer
060 - Schlumberger Technology Corporation acquisition of certain assets of Weath.docx,Ryan,J.,Maierson,Latham & Watkins LLP,Target/Seller
060 - Schlumberger Technology Corporation acquisition of certain assets of Weath.docx,John,M.,Greer,Latham & Watkins LLP,Target/Seller
060 - Science Applications International Corp and Scitor Corp merger.docx,Kevin,J.,Lavin,Arnold & Porter LLP,Buyer
060 - Science Applications International Corp and Scitor Corp merger.docx,Howard,A.,Sobel,Latham & Watkins LLP,Target/Seller
060 - Science Applications International Corp and Scitor Corp merger.docx,Jason,NA,Silvera,Latham & Watkins LLP,Target/Seller
060 - Spirit of Texas Bancshares Inc and First Beeville Financial Corporation me.docx,Peter,G.,Weinstock,Hunton Andrews Kurth LLP,Buyer
060 - Spirit of Texas Bancshares Inc and First Beeville Financial Corporation me.docx,Robert,N.,Flowers,"Fenimore Kay Harrison & Ford, LLP",Target/Seller
060 - Standard Microsystems Corporation and BridgeCo Inc merger.docx,Benet,J.,O’Reilly,"Cleary, Gottlieb, Steen & Hamilton",Buyer
060 - Standard Microsystems Corporation and BridgeCo Inc merger.docx,Jon,M.,Herzog,Goodwin Procter LLP,Target/Seller
060 - Standard Microsystems Corporation and BridgeCo Inc merger.docx,Amber,R.E.,Dolman,Goodwin Procter LLP,Target/Seller
060 - SUPERVALU INC and Associated Grocers of Florida Inc merger.docx,Michael,A.,Stanchfield,Faegre Baker Daniels LLP,Buyer
060 - SUPERVALU INC and Associated Grocers of Florida Inc merger.docx,Kate,NA,Sherburne,Faegre Baker Daniels LLP,Buyer
060 - SUPERVALU INC and Associated Grocers of Florida Inc merger.docx,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,Buyer
060 - SUPERVALU INC and Associated Grocers of Florida Inc merger.docx,Teddy,D.,Klinghoffer,Akerman LLP,Target/Seller
060 - SUPERVALU INC and Associated Grocers of Florida Inc merger.docx,Sergey,NA,Kotelnikov,Akerman LLP,Target/Seller
060 - The Pasha Group acquisition of subsidiary equity interests of Horizon Line.docx,Louis,J.,Bevilacqua,"Cadwalader, Wickersham & Taft LLP",Buyer
060 - The Pasha Group acquisition of subsidiary equity interests of Horizon Line.docx,Daniel,E.,Wolf,Kirkland & Ellis LLP,Target/Seller
060 - The Pasha Group acquisition of subsidiary equity interests of Horizon Line.docx,Yi,(Claire),Sheng,Kirkland & Ellis LLP,Target/Seller
060 - Trans World Entertainment Corporation acquisition of stock of Etailz Inc.docx,John,NA,Schuster,Cahill Gordon & Reindel LLP,Buyer
060 - Trans World Entertainment Corporation acquisition of stock of Etailz Inc.docx,Scott,NA,Simpson,"Paine Hamblen, LLP",Target/Seller
060 - Universal Truckload Services Inc acquisition of equity interests of Westpo.docx,Edwin,J.,Lukas,Bodman PLC,Buyer
060 - Universal Truckload Services Inc acquisition of equity interests of Westpo.docx,Oliver,C.,Brahmst,White & Case LLP,Target/Seller
060 - Universal Truckload Services Inc acquisition of equity interests of Westpo.docx,Carolyn,J.,Vardi,White & Case LLP,Target/Seller
060 - Vonage Holdings Corp and iCore Networks Inc merger.docx,Craig,W.,Adas,"Weil, Gotshal & Manges LLP",Buyer
060 - Vonage Holdings Corp and iCore Networks Inc merger.docx,John,J.,Klusaritz,Foley & Lardner LLP,Target/Seller
060 - York Capital Management acquisition of equity interests of Mode Transporta.docx,Sarah,NA,Stasny,Kirkland & Ellis LLP,Buyer
060 - York Capital Management acquisition of equity interests of Mode Transporta.docx,NA,NA,NA,Winston & Strawn LLP,Target/Seller
061 - All Web Leads Inc acquisition of equity interests of NetQuote Holdings Inc.docx,Todd,NA,Boes,Ropes & Gray LLP,Buyer
061 - All Web Leads Inc acquisition of equity interests of NetQuote Holdings Inc.docx,Christopher,D.,Sheaffer,Paul Hastings LLP,Target/Seller
061 - Almacenadora Afirme SA de CV Organizacin Auxiliar del Crdito Afirme Grup.docx,Ernesto,L.,Cisneros,Kemp Smith LLP,Buyer
061 - Almacenadora Afirme SA de CV Organizacin Auxiliar del Crdito Afirme Grup.docx,Gregory,E.,Struxness,Ater Wynne LLP,Target/Seller
061 - Audience Inc and Sensor Platforms Inc merger.docx,Michael,NA,Danaher,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
061 - Audience Inc and Sensor Platforms Inc merger.docx,Julia,NA,Reigel,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
061 - Audience Inc and Sensor Platforms Inc merger.docx,Jared,NA,Jensen,Goodwin Procter LLP,Target/Seller
061 - Chart Industries Inc and RCHPH Holdings Inc dba Hudson Products Corporatio.docx,Patrick,J.,Leddy,Jones Day,Buyer
061 - Chart Industries Inc and RCHPH Holdings Inc dba Hudson Products Corporatio.docx,Nicholas,P.,Luongo,Latham & Watkins LLP,Target/Seller
061 - CoStar Group Inc acquisition of equity interests of STR LLC and STR Global.docx,Michael,J.,Aiello,"Weil, Gotshal & Manges LLP",Buyer
061 - CoStar Group Inc acquisition of equity interests of STR LLC and STR Global.docx,Joel,NA,Buckberg,"Baker, Donelson, Bearman, Caldwell, & Berkowitz, PC",Target/Seller
061 - CVS Caremark Corporation acquisition of stock of Apria Finance Holdings In.docx,Matthew,G.,Hurd,Sullivan & Cromwell LLP,Buyer
061 - CVS Caremark Corporation acquisition of stock of Apria Finance Holdings In.docx,William,R.,Dougherty,Simpson Thacher & Bartlett LLP,Target/Seller
061 - Everyday Health Inc and DoctorDirectorycom Inc merger.docx,Alfred,NA,Browne,Cooley LLP,Buyer
061 - Everyday Health Inc and DoctorDirectorycom Inc merger.docx,David,R.,Yates,Hunton & Williams LLP,Target/Seller
061 - Flywheel Energy Operating LLC acquisition of equity interests of DeSoto Ga.docx,Bryan,Edward,Loocke,Vinson & Elkins LLP,Buyer
061 - Flywheel Energy Operating LLC acquisition of equity interests of DeSoto Ga.docx,Chris,NA,Bennett,Latham & Watkins LLP,Target/Seller
061 - Forrester Research Inc and SiriusDecisions Inc merger.docx,Faiz,NA,Ahmad,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
061 - Forrester Research Inc and SiriusDecisions Inc merger.docx,Margaret,R.,Cohen,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
061 - Forrester Research Inc and SiriusDecisions Inc merger.docx,NA,NA,NA,DLA Piper LLP (US),Target/Seller
061 - Hanmi Financial Corporation and SWNB Bancorp Inc merger.docx,Lawrence,M.F.,Spaccasi,"Luse Gorman, PC",Buyer
061 - Hanmi Financial Corporation and SWNB Bancorp Inc merger.docx,Scott,NA,Brown,"Luse Gorman, PC",Buyer
061 - Hanmi Financial Corporation and SWNB Bancorp Inc merger.docx,Robert,N.,Flowers,"Fenimore, Kay, Harrison & Ford, LLP",Target/Seller
061 - Hanmi Financial Corporation and SWNB Bancorp Inc merger.docx,Lowell,W.,Harrison,"Fenimore, Kay, Harrison & Ford, LLP",Target/Seller
061 - HC2 Holdings Inc acquisition of certain assets of Mako Communications LLC .docx,Carl,D.,Roston,Akerman LLP,Buyer
061 - HC2 Holdings Inc acquisition of certain assets of Mako Communications LLC .docx,Palash,I.,Pandya,Akerman LLP,Buyer
061 - HC2 Holdings Inc acquisition of certain assets of Mako Communications LLC .docx,Trey,NA,Hanbury,Hogan Lovells US LLP,Buyer
061 - HC2 Holdings Inc acquisition of certain assets of Mako Communications LLC .docx,Lee,NA,Peltzman,Shainis & Peltzman,Target/Seller
061 - Kadant Inc acquisition of subsidiary equity interests and certain assets o.docx,Patrick,M.,Shea,McCarthy Tétrault LLP,Buyer
061 - Kadant Inc acquisition of subsidiary equity interests and certain assets o.docx,Stephan,H.,Coonrod,K&L Gates LLP,Target/Seller
061 - Lilis Energy Inc acquisition of certain assets of OneEnergy Partners Opera.docx,Cole,NA,Bredthauer,Thompson & Knight LLP,Buyer
061 - Lilis Energy Inc acquisition of certain assets of OneEnergy Partners Opera.docx,NA,NA,NA,Bracewell LLP,Buyer
061 - Lilis Energy Inc acquisition of certain assets of OneEnergy Partners Opera.docx,Mitch,NA,Tiras,Locke Lord LLP,Target/Seller
061 - Lilis Energy Inc acquisition of certain assets of OneEnergy Partners Opera.docx,Terry,NA,Radney,Locke Lord LLP,Target/Seller
061 - LogistiCare Solutions LLC acquisition of equity interests of National MedT.docx,NA,NA,NA,Not disclosed at signing.,Buyer
061 - LogistiCare Solutions LLC acquisition of equity interests of National MedT.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
061 - Measurement Specialties Inc acquisition of stock of Transducer Controls Co.docx,NA,NA,NA,DLA Piper LLP (US),Buyer
061 - Measurement Specialties Inc acquisition of stock of Transducer Controls Co.docx,Dan,NA,Offer,"Offer Avnon Offer & Co., Law Office",Target/Seller
061 - Meritor Inc and CAX Parent LLC merger.docx,Anthony,Kuhel,Jr.,Thompson Hine LLP,Buyer
061 - Meritor Inc and CAX Parent LLC merger.docx,NA,NA,NA,Latham & Watkins LLP,Target/Seller
061 - Midland States Bancorp Inc and Alpine Bancorporation Inc merger.docx,Dennis,R.,Wendte,Barack Ferrazzano Kirschbaum & Nagelberg LLP,Buyer
061 - Midland States Bancorp Inc and Alpine Bancorporation Inc merger.docx,Matthew,C.,Boba,Chapman and Cutler LLP,Target/Seller
061 - Novelis Inc and Aleris Corporation merger.docx,Peter,M.,Labonski,Latham & Watkins LLP,Buyer
061 - Novelis Inc and Aleris Corporation merger.docx,Mark,D.,Gerstein,Latham & Watkins LLP,Buyer
061 - Novelis Inc and Aleris Corporation merger.docx,Bradley,C.,Faris,Latham & Watkins LLP,Buyer
061 - Novelis Inc and Aleris Corporation merger.docx,Christopher,NA,Ewan,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
061 - Novelis Inc and Aleris Corporation merger.docx,Randi,NA,Lally,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
061 - Olympic Steel Inc and Chicago Tube and Iron Company merger.docx,James,P.,Dougherty,Jones Day,Buyer
061 - Olympic Steel Inc and Chicago Tube and Iron Company merger.docx,Lloyd,L.,Rothenberg,Loeb & Loeb LLP,Target/Seller
061 - Onex Corporation and Moran Foods LLC merger.docx,Paul,NA,Sheridan,Latham & Watkins LLP,Buyer
061 - Onex Corporation and Moran Foods LLC merger.docx,Bradley,NA,Faris,Latham & Watkins LLP,Buyer
061 - Onex Corporation and Moran Foods LLC merger.docx,Igor,NA,Kirman,"Wachtell, Lipton, Rosen & Katz",Target/Seller
061 - Onex Corporation and Moran Foods LLC merger.docx,DongJu,NA,Song,"Wachtell, Lipton, Rosen & Katz",Target/Seller
061 - Peppy Capital - 25 LP acquisition of stock of TrueCar Inc.docx,NA,NA,NA,Not disclosed at signing.,Buyer
061 - Peppy Capital - 25 LP acquisition of stock of TrueCar Inc.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
061 - Remark Media Inc acquisition of equity interests of Vegascom LLC.docx,Robert,H.,Friedman,Olshan Frome Wolosky LLP,Buyer
061 - Remark Media Inc acquisition of equity interests of Vegascom LLC.docx,NA,NA,NA,Karr Tuttle Campbell,Target/Seller
061 - Repay Holdings LLC acquisition of equity interests of TriSource Solutions .docx,Tyler,B.,Dempsey,Troutman Sanders LLP,Buyer
061 - Repay Holdings LLC acquisition of equity interests of TriSource Solutions .docx,Brendan,J.,Thomas,Troutman Sanders LLP,Buyer
061 - Repay Holdings LLC acquisition of equity interests of TriSource Solutions .docx,Philip,C.,Thompson,"Moore Ingram Johnson & Steele, LLP",Target/Seller
061 - Symantec Corporation and Blue Coat Inc merger.docx,Douglas,N.,Cogen,Fenwick & West LLP,Buyer
061 - Symantec Corporation and Blue Coat Inc merger.docx,Scott,B.,Joachim,Fenwick & West LLP,Buyer
061 - Symantec Corporation and Blue Coat Inc merger.docx,David,K.,Michaels,Fenwick & West LLP,Buyer
061 - Symantec Corporation and Blue Coat Inc merger.docx,NA,NA,NA,Simpson Thacher & Bartlett LLP,Buyer
061 - Symantec Corporation and Blue Coat Inc merger.docx,William,M.,Shields,Ropes & Gray LLP,Target/Seller
061 - Symantec Corporation and Blue Coat Inc merger.docx,Charles,F.,Boer,Ropes & Gray LLP,Target/Seller
061 - Symantec Corporation and Blue Coat Inc merger.docx,NA,NA,NA,Wilson Sonsini Goodrich & Rosati,Target/Seller
061 - Valero Energy Partners LP acquisition of equity interests of Valero Partne.docx,NA,NA,NA,Akin Gump Straus Hauer & Feld LLP (advising Buyer Parent’s conflicts committee),Buyer
061 - Valero Energy Partners LP acquisition of equity interests of Valero Partne.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
061 - Westmoreland Resource Partners LP acquisition of equity interests of Westm.docx,NA,NA,NA,Akin Gump Strauss Hauer & Feld LLP,Buyer
